Country,Total New Disaster Displacements (2009-2019),New Disaster Displacements (2019),Disaster Stock Displacement (2019)
Afghanistan,5795500,117000,1198000
India,2022500,5018000,590000
Ethiopia,24560,504000,390000
Philippines,743030,4094000,364000
Sudan,24560,272000,272000
South Sudan,4630,294000,246000
China,49980,4034000,220000
"Iran, Islamic Rep.",522460,520000,180000
"Congo, Dem. Rep.",1294300,233000,168000
Nigeria,100000,157000,143000
Mozambique,42094,506000,132000
Niger,10981000,121000,121000
"Congo, Rep",5790300,166000,107000
Indonesia,21128,463000,104000
Central African Republic,6400,102000,95000
Japan,4413800,265000,88000
Bangladesh,28723,4086000,88000
Malawi,1010,117000,54000
Zimbabwe,233540,52000,52000
Haiti,18430,1200,51000
Myanmar,234800,270000,41000
United States,4413800,916000,37000
Albania,1464900,33000,32000
Nepal,44534,121000,29000
