Country,Region,IG,CCVS,NMR,2018CCD,2018SD,2018CD,PPR,new2019DD,totalDD
Philippines,Southeast Asia,Lower Middle Income,0.459,-1.8,3802000,301000,188000,#N/A,,
China,East Asia,Upper Middle Income,0.389,-0.4,3762000,,,#N/A,,
India,South Asia,Lower Middle Income,0.502,0,2675000,479000,169000,#N/A,,
United States of America,North America,High Income,0.339,3,1247000,,,0,,
Indonesia,Southeast Asia,Lower Middle Income,0.445,-1.1,853000,16000,4500,#N/A,,
Nigeria,Sub-Saharan Africa,Lower Middle Income,0.489,-0.2,613000,2216000,541000,#N/A,,
Somalia,Sub-Saharan Africa,Low Income,0.678,-3.8,547000,2648000,578000,9.52,,
Afghanistan,Western Asia,Low Income,0.595,-0.1,435000,2598000,372000,7.59,,
Kenya,Sub-Saharan Africa,Low Income,0.546,-0.2,336000,162000,10000,#N/A,,
Myanmar,Southeast Asia,Lower Middle Income,0.542,-1.4,298000,401000,42000,#N/A,,
Ethiopia,Sub-Saharan Africa,Low Income,0.566,-0.2,296000,2137000,2895000,#N/A,,
Uganda,Sub-Saharan Africa,Low Income,0.58,-3.5,164000,32000,9000,0.02,,
Bahrain,Western Asia,High Income,0.458,10.6,,,,0.03,,
Vietnam,Southeast Asia,Lower Middle Income,0.477,-0.3,143000,,,0.34,,
Sudan,Sub-Saharan Africa,Lower Middle Income,0.623,-0.4,121000,2072000,41000,1.65,,
Sri Lanka,South Asia,Lower Middle Income,0.47,-1.3,100000,37000,1100,0.59,,
Brazil,South America,Upper Middle Income,0.381,-0.1,86000,,,0,,
Bangladesh,South Asia,Low Income,0.543,-3,78000,426000,300,0.01,,
Madagascar,Sub-Saharan Africa,Low Income,0.584,0,75000,2000,1700,#N/A,,
Iraq,Western Asia,Upper Middle Income,0.436,-0.5,69000,1962000,150000,#N/A,,
Colombia,South America,Upper Middle Income,0.388,-0.6,67000,5761000,145000,#N/A,,
Papua New Guinea,Oceania,Lower Middle Income,0.573,0,61000,12000,360,#N/A,,
Ghana,Sub-Saharan Africa,Lower Middle Income,0.468,-1.6,61000,5000,5000,#N/A,,
Cuba,Central America & the Caribbean,Lower Middle Income,0.428,-3.7,52000,,,#N/A,,
