Country,rrpthousand
Afghanistan,7.59
Albania,0.35
Algeria,0.01
Andorra,0.01
Angola,0.04
Antigua and Barbuda,0.06
Argentina,0
Armenia,0.39
Australia,0
Austria,0
Azerbaijan,0.11
Bahamas,0.06
Bahrain,0.03
Bangladesh,0.01
Barbados,0.03
Belarus,0.05
Belgium,0
Belize,0.01
Benin,0
Bhutan,3
Bolivia,0.01
Bosnia and Herzegovina,0.57
Botswana,0.01
Brazil,0
Brunei Darussalam,0
Bulgaria,0.02
Burkina Faso,0.01
Burundi,0.67
Cambodia,0.09
Cameroon,0.05
Canada,0
Central African Republic,7.88
Chad,0.11
Chile,0
China,0.02
Colombia,0.22
Comoros,0.08
Costa Rica,0.01
Croatia,0.93
Cuba,0.06
Cyprus,0
Czech Republic,0.01
Democratic Republic of the Congo,0.69
Denmark,0
Djibouti,0.1
Dominica,0.05
Dominican Republic,0
Ecuador,0.01
Egypt,0.02
El Salvador,0.18
Equatorial Guinea,0.02
Eritrea,6.08
Estonia,0.03
Ethiopia,0.09
Fiji,0.1
Finland,0
France,0
Gabon,0.01
Gambia,0.27
Georgia,0.17
Germany,0
Ghana,0.08
Greece,0
Greenland,#N/A
Grenada,0.3
Guatemala,0.05
Guinea,0.12
Guinea-Bissau,0.07
Guyana,0.09
Haiti,0.35
Honduras,0.05
Hungary,0.01
Iceland,0
India,0
Indonesia,0
Iran,0.11
Iraq,1.04
Ireland,0
Israel,0.01
Italy,0
Ivory Coast,0.32
Jamaica,0.06
Japan,0
Jordan,0.02
Kazakhstan,0.01
Kenya,0.02
Kuwait,0.03
Kyrgyzstan,0.04
Laos,0.11
Latvia,0.01
Lebanon,0.08
Lesotho,0
Liberia,0.31
Libya,0.07
Lithuania,0.01
Luxembourg,0
Macedonia,0.08
Madagascar,0
Malawi,0
Malaysia,0
Maldives,0.01
Mali,0.81
Malta,0
Mauritania,0.85
Mauritius,0.01
Mexico,0.01
Micronesia,#N/A
Moldova,0.05
Mongolia,0.07
Montenegro,0.1
Morocco,0
Mozambique,0
Myanmar,0.42
Namibia,0.05
Nepal,0.03
Netherlands,0
New Zealand,0
Nicaragua,0.03
Niger,0
Nigeria,0.03
North Korea,0.01
Norway,0
Oman,0
Pakistan,0.17
Panama,0
Papua New Guinea,0
Paraguay,0
Peru,0
Philippines,0.01
Poland,0
Portugal,0
Qatar,0
Republic of Congo,0.32
Republic of Serbia,0.51
Romania,0.01
Russia,0.05
Rwanda,0.7
Saint Kitts and Nevis,0.04
Saint Lucia,0.5
Saint Vincent and the Grenadines,1.56
Samoa,0
Sao Tome and Principe,0.01
Saudi Arabia,0
Senegal,0.16
Seychelles,0.03
Sierra Leone,0.08
Singapore,0
Slovakia,0.01
Slovenia,0
Solomon Islands,0.01
Somalia,9.52
Somaliland,
South Africa,0
South Korea,0
South Sudan,4.92
Spain,0
Sri Lanka,0.59
Sudan,1.65
Suriname,0
Sweden,0
Switzerland,0
Syria,17.09
Tajikistan,0.01
Thailand,0
Timor-Leste,0
Togo,0.13
Tonga,0.02
Trinidad and Tobago,0.03
Tunisia,0.01
Turkey,0.08
Turkmenistan,0.01
Uganda,0.02
Ukraine,0.53
United Arab Emirates,0
United Kingdom,0
United Republic of Tanzania,0
United States of America,0
Uruguay,0
Uzbekistan,0.02
Vanuatu,0
Venezuela,0.03
Vietnam,0.34
Western Sahara,13.89
Yemen,0.01
Zambia,0
Zimbabwe,0.15
